,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,lattitude,living,locality_name,longitude,owner_name,post_date,price,property_name
0,1480.0,0,1.0,4050,2.0,3.0,78720,1.0,22.670682,1.0,B T Road,88.376096,Dhoot Realtors,"Nov 03, 2020",5994000.0,Dhoot Pratham
1,1500.0,0,2.0,4050,2.0,3.0,78720,1.0,22.670682,1.0,B T Road,88.376096,Dhoot Realtors,"Nov 03, 2020",6075000.0,Dhoot Pratham
2,1520.0,0,1.0,4050,2.0,3.0,78720,1.0,22.670682,1.0,B T Road,88.376096,Dhoot Realtors,"Nov 03, 2020",6156000.0,Dhoot Pratham
3,1545.0,0,1.0,4050,2.0,3.0,78720,1.0,22.670682,1.0,B T Road,88.376096,Dhoot Realtors,"Nov 03, 2020",6257250.0,Dhoot Pratham
4,1580.0,0,2.0,4050,2.0,3.0,78720,1.0,22.670682,1.0,B T Road,88.376096,Dhoot Realtors,"Nov 03, 2020",6399000.0,Dhoot Pratham
5,1590.0,0,1.0,4050,2.0,3.0,78720,0.0,22.670682,,B T Road,88.376096,Dhoot Realtors,"Nov 03, 2020",6439500.0,Dhoot Pratham
6,1630.0,0,1.0,4050,3.0,3.0,78720,0.0,22.670682,,B T Road,88.376096,Dhoot Realtors,"Nov 03, 2020",6601500.0,Dhoot Pratham
7,1640.0,0,1.0,4050,3.0,3.0,78720,0.0,22.670682,,B T Road,88.376096,Dhoot Realtors,"Nov 03, 2020",6642000.0,Dhoot Pratham
8,1655.0,0,1.0,4050,3.0,3.0,78720,1.0,22.670682,1,B T Road,88.376096,Dhoot Realtors,"Nov 03, 2020",6702750.0,Dhoot Pratham
9,1670.0,0,1.0,4050,3.0,3.0,78720,1.0,22.670682,1,B T Road,88.376096,Dhoot Realtors,"Nov 03, 2020",6763500.0,Dhoot Pratham
10,1675.0,0,1.0,4050,3.0,3.0,78720,1.0,22.670682,1,B T Road,88.376096,Dhoot Realtors,"Nov 03, 2020",6783750.0,Dhoot Pratham
11,1680.0,0,2.0,4050,2.0,3.0,78720,0.0,22.670682,,B T Road,88.376096,Dhoot Realtors,"Nov 03, 2020",6804000.0,Dhoot Pratham
12,1690.0,0,2.0,4050,2.0,3.0,78720,1.0,22.670682,1,B T Road,88.376096,Dhoot Realtors,"Nov 03, 2020",6844500.0,Dhoot Pratham
13,1700.0,0,1.0,4050,3.0,3.0,78720,1.0,22.670682,1,B T Road,88.376096,Dhoot Realtors,"Nov 03, 2020",6885000.0,Dhoot Pratham
14,688.0,"Dec 01, 2023",,7050,,2.0,899100,0.0,22.616083,,Dum Dum,88.390544,Eden Group,"Nov 03, 2020",4850400.0,Eden The Forest
15,694.0,"Dec 01, 2023",,7050,,2.0,899100,0.0,22.616083,,Dum Dum,88.390544,Eden Group,"Nov 03, 2020",4892700.0,Eden The Forest
16,705.0,"Dec 01, 2023",,7050,,2.0,899100,1.0,22.616083,,Dum Dum,88.390544,Eden Group,"Nov 03, 2020",4970250.0,Eden The Forest
17,706.0,"Dec 01, 2023",,7050,2,2.0,899100,0.0,22.616083,,Dum Dum,88.390544,Eden Group,"Nov 03, 2020",4977300.0,Eden The Forest
18,708.0,"Dec 01, 2023",,7050,2,2.0,899100,0.0,22.616083,,Dum Dum,88.390544,Eden Group,"Nov 03, 2020",4991400.0,Eden The Forest
19,715.0,"Dec 01, 2023",,7050,,2.0,899100,0.0,22.616083,,Dum Dum,88.390544,Eden Group,"Nov 03, 2020",5040750.0,Eden The Forest
20,735.0,"Dec 01, 2023",,7050,,2.0,899100,0.0,22.616083,,Dum Dum,88.390544,Eden Group,"Nov 03, 2020",5181750.0,Eden The Forest
21,739.0,"Dec 01, 2023",,7050,,2.0,899100,0.0,22.616083,,Dum Dum,88.390544,Eden Group,"Nov 03, 2020",5209950.0,Eden The Forest
22,959.0,"Dec 01, 2023",,7050,,2.0,899100,0.0,22.616083,,Dum Dum,88.390544,Eden Group,"Nov 03, 2020",6760950.0,Eden The Forest
23,1172.0,0,1,8508,2,3.0,183405,1.0,22.573977,1,Narkeldanga,88.398249,Prasad Group,"Oct 29, 2020",10000000.0,Prasad Rare Earth
24,1309.0,0,1,8508,2,3.0,183405,1.0,22.573977,1,Narkeldanga,88.398249,Prasad Group,"Oct 29, 2020",11100000.0,Prasad Rare Earth
25,1316.0,0,1,8508,2,3.0,183405,1.0,22.573977,1,Narkeldanga,88.398249,Prasad Group,"Oct 29, 2020",11200000.0,Prasad Rare Earth
26,1339.0,0,1,8508,3,3.0,183405,1.0,22.573977,1,Narkeldanga,88.398249,Prasad Group,"Oct 29, 2020",11400000.0,Prasad Rare Earth
27,1340.0,0,1,8508,3,3.0,183405,1.0,22.573977,1,Narkeldanga,88.398249,Prasad Group,"Oct 29, 2020",11400000.0,Prasad Rare Earth
28,1976.0,0,2,8490,4,4.0,183405,1.0,22.573977,1,Narkeldanga,88.398249,Prasad Group,"Oct 29, 2020",16800000.0,Prasad Rare Earth
29,1981.0,0,2,8490,4,4.0,183405,1.0,22.573977,1,Narkeldanga,88.398249,Prasad Group,"Oct 29, 2020",16800000.0,Prasad Rare Earth
30,2060.0,0,2,8490,4,4.0,183405,1.0,22.573977,1,Narkeldanga,88.398249,Prasad Group,"Oct 29, 2020",17500000.0,Prasad Rare Earth
31,2062.0,0,2,8490,4,4.0,183405,1.0,22.573977,1,Narkeldanga,88.398249,Prasad Group,"Oct 29, 2020",17500000.0,Prasad Rare Earth
32,1106.0,"Dec 01, 2022",1,4600,2,3.0,349053,1.0,22.588327,1,New Town,88.49746,Realtech Nirman Pvt Ltd,"Oct 23, 2020",5087600.0,Realtech Nirman Hijibiji
33,1188.0,"Dec 01, 2022",2,4600,2,3.0,349053,1.0,22.588327,1,New Town,88.49746,Realtech Nirman Pvt Ltd,"Oct 23, 2020",5464800.0,Realtech Nirman Hijibiji
34,1199.0,"Dec 01, 2022",2,4600,2,3.0,349053,1.0,22.588327,1,New Town,88.49746,Realtech Nirman Pvt Ltd,"Oct 23, 2020",5515400.0,Realtech Nirman Hijibiji
35,1419.0,"Dec 01, 2022",2,4600,2,3.0,349053,1.0,22.588327,1,New Town,88.49746,Realtech Nirman Pvt Ltd,"Oct 23, 2020",6527400.0,Realtech Nirman Hijibiji
36,756.0,"Dec 01, 2022",1,4600,2,2.0,349053,1.0,22.588327,1,New Town,88.49746,Realtech Nirman Pvt Ltd,"Oct 23, 2020",3477600.0,Realtech Nirman Hijibiji
